iter	RMSE
0	17.67105058
1	16.6383962
2	15.6978074
3	14.82978372
4	14.06237251
5	13.35181964
6	12.71389221
7	12.15493253
8	11.6466191
9	11.16034484
10	10.74408113
11	10.36513552
12	10.01622304
13	9.702428145
14	9.412827434
15	9.108093462
16	8.880402947
17	8.615233324
18	8.366998394
19	8.192836786
20	7.997758747
21	7.807478138
22	7.670780274
23	7.514333464
24	7.401749606
25	7.280475963
26	7.159381642
27	7.053054283
28	6.944505025
29	6.871177536
30	6.779803559
31	6.706074827
32	6.61926514
33	6.54425349
34	6.492988078
35	6.424893223
36	6.365281398
37	6.317814723
38	6.261995043
39	6.21081163
40	6.166430913
41	6.126502438
42	6.095179415
43	6.051256724
44	6.006748721
45	5.976315947
46	5.930063263
47	5.903155463
48	5.879027248
49	5.858350577
50	5.839137255
51	5.817696609
52	5.798949023
53	5.775365474
54	5.759293412
55	5.732069877
56	5.698891733
57	5.681963276
58	5.662662615
59	5.64894303
60	5.635850827
61	5.614802427
62	5.601886393
63	5.584172334
64	5.57026313
65	5.56125431
66	5.550724617
67	5.526690123
68	5.516330294
69	5.50778476
70	5.486608148
71	5.471301494
72	5.462784932
73	5.449093759
74	5.438614105
75	5.43065813
76	5.41766556
77	5.404891881
78	5.393420061
79	5.385369975
80	5.377576884
81	5.371230588
82	5.36013575
83	5.354291648
84	5.34926329
85	5.343691503
86	5.338670795
87	5.334617905
88	5.32457584
89	5.320165962
90	5.3154519
91	5.310915164
92	5.307243576
93	5.302696249
94	5.29614049
95	5.292115392
96	5.288265458
97	5.284884466
98	5.275775693
99	5.272068519
100	5.26631331
101	5.260915317
102	5.253739109
103	5.248713461
104	5.245512488
105	5.235899269
106	5.232510336
107	5.229252349
108	5.226546451
109	5.223052278
110	5.220270749
111	5.217738318
112	5.208776988
113	5.20572572
114	5.203446533
115	5.200437402
116	5.196653983
117	5.194666924
118	5.192266101
119	5.190305773
120	5.18823693
121	5.183484649
122	5.180563508
123	5.178540457
124	5.176035098
125	5.168362996
126	5.165603315
127	5.16321226
128	5.160047252
129	5.158528545
130	5.15268814
131	5.150889714
132	5.148155869
133	5.146748441
134	5.144293221
135	5.142241551
136	5.139821546
137	5.137318688
138	5.135184217
139	5.133181398
140	5.12920764
141	5.127353988
142	5.125436598
143	5.122849253
144	5.120290393
145	5.118675209
146	5.115449053
147	5.112232634
148	5.109618674
149	5.108422512
150	5.106017018
151	5.103133778
152	5.101507857
153	5.099893948
154	5.097977079
155	5.09631118
156	5.09510611
157	5.093477742
158	5.091961996
159	5.090560504
160	5.089162069
161	5.087599216
162	5.085841191
163	5.084565593
164	5.082282396
165	5.08077862
166	5.078994253
167	5.077548265
168	5.075649009
169	5.074471059
170	5.072892873
171	5.070961161
172	5.069977485
173	5.06841553
174	5.066799512
175	5.065478248
176	5.063694205
177	5.062795483
178	5.061718375
179	5.060449781
180	5.059019854
181	5.055878645
182	5.054338093
183	5.052823346
184	5.05152585
185	5.049506708
186	5.048312575
187	5.047370568
188	5.044690229
189	5.043542538
190	5.041663458
191	5.040592453
192	5.038011984
193	5.035440484
194	5.033977386
195	5.031816155
196	5.031019237
197	5.029342928
198	5.028322486
199	5.027236495
200	5.026405547
201	5.024760763
202	5.023536726
203	5.021382678
204	5.019634081
205	5.018535514
206	5.017784702
207	5.016679717
208	5.015733327
209	5.014582107
210	5.013674339
211	5.012963788
212	5.011942938
213	5.009849707
214	5.008759582
215	5.007746521
216	5.006855916
217	5.00601479
218	5.005322301
219	5.0036883
220	5.002144894
221	5.001318722
222	5.0001038
223	4.998914687
224	4.99754395
225	4.996751196
226	4.996008246
227	4.993317771
228	4.992104343
229	4.990518333
230	4.989910344
231	4.988525847
232	4.987138272
233	4.986234575
234	4.985508942
235	4.984356083
236	4.983498311
237	4.98211181
238	4.981133371
239	4.97938189
240	4.978167545
241	4.976945158
242	4.976433452
243	4.975433812
244	4.974513903
245	4.973386022
246	4.972505045
247	4.971572005
248	4.970988703
249	4.969711184
250	4.969032566
251	4.967536176
252	4.966722443
253	4.966147705
254	4.965451769
255	4.964570964
256	4.963307908
257	4.961863148
258	4.960932789
259	4.959683668
260	4.95865221
261	4.957910775
262	4.957404803
263	4.956653555
264	4.955183652
265	4.954196198
266	4.952639627
267	4.951570649
268	4.949749486
269	4.947888265
270	4.947211815
271	4.946494928
272	4.94564125
273	4.944858765
274	4.944195868
275	4.943474634
276	4.942377399
277	4.941780756
278	4.94127676
279	4.94076288
280	4.939819268
281	4.93796518
282	4.936894025
283	4.935788866
284	4.934999593
285	4.934449868
286	4.933780203
287	4.932513557
288	4.931905118
289	4.931107082
290	4.930469906
291	4.92954003
292	4.928534318
293	4.927405497
294	4.926475282
295	4.925497623
296	4.92456128
297	4.923596752
298	4.921817124
299	4.920873157
300	4.919779545
301	4.919120947
302	4.918425511
303	4.917836712
304	4.917307782
305	4.91655698
306	4.915858027
307	4.914989207
308	4.914458154
309	4.913824228
310	4.913181023
311	4.912618836
312	4.91175365
313	4.910931508
314	4.910181233
315	4.909534562
316	4.908565584
317	4.907607811
318	4.906900369
319	4.906510804
320	4.905925809
321	4.905193966
322	4.904450866
323	4.904063325
324	4.903144338
325	4.902478305
326	4.901458983
327	4.900210291
328	4.899623403
329	4.898799648
330	4.897972646
331	4.89706322
332	4.896635115
333	4.895546671
334	4.893756503
335	4.893200657
336	4.892500432
337	4.892071014
338	4.891281793
339	4.890751199
340	4.890399198
341	4.889599319
342	4.889023376
343	4.887950155
344	4.887122275
345	4.886539212
346	4.885408278
347	4.884601742
