iter	Passed	Remaining
0	4	4682
1	9	4940
2	14	4838
3	18	4638
4	22	4565
5	27	4519
6	31	4466
7	35	4413
8	39	4373
9	43	4334
10	47	4296
11	52	4294
12	56	4276
13	60	4260
14	64	4240
15	68	4222
16	72	4202
17	76	4199
18	81	4197
19	85	4187
20	89	4173
21	93	4158
22	97	4144
23	101	4138
24	105	4129
25	109	4120
26	114	4111
27	118	4106
28	122	4100
29	126	4091
30	130	4081
31	134	4074
32	138	4065
33	142	4062
34	147	4056
35	151	4056
36	155	4049
37	159	4040
38	163	4035
39	167	4030
40	172	4025
41	176	4025
42	180	4019
43	184	4012
44	188	4005
45	192	3996
46	197	3994
47	201	3987
48	205	3981
49	209	3977
50	213	3973
51	217	3967
52	221	3963
53	225	3958
54	229	3951
55	234	3946
56	238	3941
57	242	3939
58	246	3934
59	250	3928
60	254	3923
61	258	3916
62	262	3910
63	267	3906
64	271	3901
65	275	3897
66	279	3893
67	283	3886
68	288	3887
69	292	3885
70	296	3884
71	300	3878
72	305	3873
73	309	3867
74	313	3865
75	317	3859
76	321	3854
77	325	3848
78	329	3844
79	333	3838
80	338	3838
81	342	3833
82	346	3828
83	350	3822
84	354	3815
85	358	3811
86	362	3807
87	366	3803
88	371	3797
89	374	3791
90	379	3786
91	383	3782
92	387	3778
93	391	3772
94	395	3766
95	399	3759
96	403	3754
97	407	3748
98	411	3745
99	415	3740
100	419	3735
101	423	3730
102	427	3725
103	431	3719
104	436	3716
105	440	3712
106	444	3707
107	448	3702
108	452	3696
109	456	3692
110	460	3688
111	464	3682
112	468	3677
113	472	3671
114	476	3665
115	480	3662
116	484	3659
117	488	3654
118	492	3649
119	496	3644
120	500	3638
121	504	3633
122	509	3630
123	513	3624
124	517	3619
125	521	3615
126	525	3609
127	528	3603
128	533	3598
129	537	3594
130	541	3590
131	545	3586
132	549	3580
133	553	3576
134	557	3572
135	561	3566
136	565	3561
137	569	3556
138	573	3552
139	577	3548
140	581	3543
141	585	3539
142	589	3534
143	593	3529
144	597	3525
145	601	3519
146	605	3515
147	609	3511
148	613	3506
149	617	3500
150	621	3496
151	625	3491
152	629	3486
153	633	3480
154	637	3475
155	641	3470
156	645	3466
157	649	3461
158	653	3456
159	657	3451
160	661	3447
161	665	3442
162	669	3438
163	673	3434
164	677	3430
165	681	3425
166	685	3420
167	689	3415
168	693	3411
169	697	3405
170	701	3400
171	705	3396
172	709	3392
173	713	3387
174	717	3383
175	721	3379
176	726	3375
177	729	3370
178	733	3365
179	738	3362
180	742	3358
181	746	3354
182	750	3349
183	754	3345
184	758	3341
185	762	3337
186	766	3332
187	770	3327
188	774	3322
189	778	3317
190	782	3313
191	786	3309
192	790	3305
193	794	3301
194	798	3296
195	802	3293
196	806	3288
197	810	3284
198	814	3278
199	818	3274
200	822	3269
201	826	3265
202	830	3261
203	834	3256
204	838	3252
205	842	3247
206	846	3242
207	850	3238
208	854	3233
209	858	3229
210	862	3225
211	866	3220
212	870	3215
213	874	3211
214	878	3207
215	882	3202
216	886	3198
217	890	3194
218	894	3189
219	898	3184
220	902	3180
221	906	3176
222	910	3173
223	914	3169
224	919	3165
225	923	3161
226	927	3157
227	931	3152
228	935	3148
229	939	3144
230	943	3139
231	947	3135
232	951	3131
233	955	3126
234	959	3122
235	963	3117
236	966	3112
237	971	3108
238	974	3104
239	979	3100
240	983	3097
241	988	3095
242	992	3090
243	996	3088
244	1001	3085
245	1005	3082
246	1009	3078
247	1014	3075
248	1018	3071
249	1023	3069
250	1028	3067
251	1032	3064
252	1036	3061
253	1041	3058
254	1045	3055
255	1050	3053
256	1055	3050
257	1059	3047
258	1064	3044
259	1068	3042
260	1073	3039
261	1078	3036
262	1082	3033
263	1087	3030
264	1091	3027
265	1096	3024
266	1100	3022
267	1105	3020
268	1110	3018
269	1115	3014
270	1119	3011
271	1123	3008
272	1128	3005
273	1133	3002
274	1138	3000
275	1142	2997
276	1146	2993
277	1151	2990
278	1156	2987
279	1160	2984
280	1165	2981
281	1169	2978
282	1174	2974
283	1178	2971
284	1183	2969
285	1187	2965
286	1192	2962
287	1197	2959
288	1201	2956
289	1206	2954
290	1211	2952
291	1217	2951
292	1222	2949
293	1228	2950
294	1233	2948
295	1239	2947
296	1245	2947
297	1249	2944
298	1255	2943
299	1261	2942
300	1267	2942
301	1272	2940
302	1276	2937
303	1281	2934
304	1287	2932
305	1292	2931
306	1296	2927
307	1302	2926
308	1307	2923
309	1312	2920
310	1317	2918
311	1322	2915
312	1327	2912
313	1332	2911
314	1337	2907
315	1342	2905
316	1347	2903
317	1352	2900
318	1357	2897
319	1363	2896
320	1368	2894
321	1373	2892
322	1378	2889
323	1383	2886
324	1388	2883
325	1393	2881
326	1398	2878
327	1403	2874
328	1407	2871
329	1412	2866
330	1416	2863
331	1421	2860
332	1426	2856
333	1430	2853
334	1435	2849
335	1440	2845
336	1444	2842
337	1449	2839
338	1454	2835
339	1459	2832
340	1463	2828
341	1468	2825
342	1472	2820
343	1476	2816
344	1481	2812
345	1485	2807
346	1489	2803
347	1494	2799
348	1498	2795
349	1503	2791
350	1507	2787
351	1511	2783
352	1516	2779
353	1520	2775
354	1525	2771
355	1529	2767
356	1534	2763
357	1538	2759
358	1542	2754
359	1546	2749
360	1551	2745
361	1555	2740
362	1559	2736
363	1563	2731
364	1567	2727
365	1571	2722
366	1576	2718
367	1580	2714
368	1585	2710
369	1589	2706
370	1594	2703
371	1598	2699
372	1603	2695
373	1607	2690
374	1612	2686
